Cost centre group,Nationality,Academic year,Sex,Number
"Agriculture, forestry & veterinary science",UK,2019/20,Male,920
"Agriculture, forestry & veterinary science",All,2019/20,Female,1630
"Agriculture, forestry & veterinary science",All,2019/20,Male,1280
Architecture & planning,European Union,2019/20,Female,410
Architecture & planning,Non-European Union,2019/20,Female,245
Architecture & planning,Not known,2019/20,Female,5
Architecture & planning,UK,2019/20,Female,1065
Architecture & planning,European Union,2019/20,Male,390
Architecture & planning,Non-European Union,2019/20,Male,370
Architecture & planning,Not known,2019/20,Male,20
Architecture & planning,UK,2019/20,Male,2210
Architecture & planning,All,2019/20,Female,1730
Architecture & planning,All,2019/20,Male,2990
"Biological, mathematical & physical sciences",European Union,2019/20,Female,3110
"Biological, mathematical & physical sciences",Non-European Union,2019/20,Female,2005
"Biological, mathematical & physical sciences",Not known,2019/20,Female,75
"Biological, mathematical & physical sciences",UK,2019/20,Female,6830
"Biological, mathematical & physical sciences",European Union,2019/20,Male,4560
"Biological, mathematical & physical sciences",Non-European Union,2019/20,Male,3665
"Biological, mathematical & physical sciences",Not known,2019/20,Male,150
"Biological, mathematical & physical sciences",UK,2019/20,Male,13320
"Biological, mathematical & physical sciences",All,2019/20,Female,12020
"Biological, mathematical & physical sciences",All,2019/20,Male,21695
"Design, creative & performing arts",European Union,2019/20,Female,1095
"Design, creative & performing arts",Non-European Union,2019/20,Female,670
"Design, creative & performing arts",Not known,2019/20,Female,80
"Design, creative & performing arts",UK,2019/20,Female,7045
"Design, creative & performing arts",European Union,2019/20,Male,785
"Design, creative & performing arts",Non-European Union,2019/20,Male,475
"Design, creative & performing arts",Not known,2019/20,Male,75
"Design, creative & performing arts",UK,2019/20,Male,8370
"Design, creative & performing arts",All,2019/20,Female,8890
"Design, creative & performing arts",All,2019/20,Male,9700
Education,European Union,2019/20,Female,720
Education,Non-European Union,2019/20,Female,445
Education,Not known,2019/20,Female,50
Education,UK,2019/20,Female,7020
Education,European Union,2019/20,Male,365
Education,Non-European Union,2019/20,Male,245
Education,Not known,2019/20,Male,20
Education,UK,2019/20,Male,4565
Education,All,2019/20,Female,8230
Education,All,2019/20,Male,5195
Engineering & technology,European Union,2019/20,Female,1360
Engineering & technology,Non-European Union,2019/20,Female,1725
Engineering & technology,Not known,2019/20,Female,35
Engineering & technology,UK,2019/20,Female,2835
Engineering & technology,European Union,2019/20,Male,4045
Engineering & technology,Non-European Union,2019/20,Male,5875
Engineering & technology,Not known,2019/20,Male,100
Engineering & technology,UK,2019/20,Male,11775
Engineering & technology,All,2019/20,Female,5950
Engineering & technology,All,2019/20,Male,21790
Humanities & language based studies & archaeology,European Union,2019/20,Female,2605
Humanities & language based studies & archaeology,Non-European Union,2019/20,Female,1435
Humanities & language based studies & archaeology,Not known,2019/20,Female,85
Humanities & language based studies & archaeology,UK,2019/20,Female,5855
Humanities & language based studies & archaeology,European Union,2019/20,Male,1485
Humanities & language based studies & archaeology,Non-European Union,2019/20,Male,1060
Humanities & language based studies & archaeology,Not known,2019/20,Male,80
Humanities & language based studies & archaeology,UK,2019/20,Male,5965
Humanities & language based studies & archaeology,All,2019/20,Female,9980
Humanities & language based studies & archaeology,All,2019/20,Male,8590
"Medicine, dentistry & health",European Union,2019/20,Female,5040
"Medicine, dentistry & health",Non-European Union,2019/20,Female,2835
"Medicine, dentistry & health",Not known,2019/20,Female,225
"Medicine, dentistry & health",UK,2019/20,Female,24240
"Medicine, dentistry & health",European Union,2019/20,Male,3240
"Medicine, dentistry & health",Non-European Union,2019/20,Male,2465
"Medicine, dentistry & health",Not known,2019/20,Male,220
"Medicine, dentistry & health",UK,2019/20,Male,15565
"Medicine, dentistry & health",All,2019/20,Female,32335
"Medicine, dentistry & health",All,2019/20,Male,21485
Other services,European Union,2019/20,Female,190
Other services,Non-European Union,2019/20,Female,140
Other services,Not known,2019/20,Female,10
Other services,UK,2019/20,Female,1360
Other services,European Union,2019/20,Male,105
Other services,Non-European Union,2019/20,Male,90
Other services,Not known,2019/20,Male,5
Other services,UK,2019/20,Male,1090
Other services,All,2019/20,Female,1705
Other services,All,2019/20,Male,1290
Social studies,European Union,2019/20,Female,2655
Social studies,Non-European Union,2019/20,Female,2040
Social studies,Not known,2019/20,Female,75
Social studies,UK,2019/20,Female,8995
Social studies,European Union,2019/20,Male,2675
Social studies,Non-European Union,2019/20,Male,1920
Social studies,Not known,2019/20,Male,110
Social studies,UK,2019/20,Male,10040
Social studies,All,2019/20,Female,13760
Social studies,All,2019/20,Male,14740
Administration & business studies,European Union,2020/21,Female,1320
Administration & business studies,Non-European Union,2020/21,Female,1815
Administration & business studies,Not known,2020/21,Female,40
Administration & business studies,UK,2020/21,Female,5010
Administration & business studies,European Union,2020/21,Male,1675
Administration & business studies,Non-European Union,2020/21,Male,2245
Administration & business studies,Not known,2020/21,Male,40
Administration & business studies,UK,2020/21,Male,6100
Administration & business studies,All,2020/21,Female,8185
Administration & business studies,All,2020/21,Male,10060
"Agriculture, forestry & veterinary science",European Union,2020/21,Female,295
"Agriculture, forestry & veterinary science",Non-European Union,2020/21,Female,145
"Agriculture, forestry & veterinary science",Not known,2020/21,Female,15
"Agriculture, forestry & veterinary science",UK,2020/21,Female,1295
"Agriculture, forestry & veterinary science",European Union,2020/21,Male,210
"Agriculture, forestry & veterinary science",Non-European Union,2020/21,Male,150
"Agriculture, forestry & veterinary science",Not known,2020/21,Male,5
"Agriculture, forestry & veterinary science",UK,2020/21,Male,945
"Agriculture, forestry & veterinary science",All,2020/21,Female,1750
"Agriculture, forestry & veterinary science",All,2020/21,Male,1315
Architecture & planning,European Union,2020/21,Female,450
Architecture & planning,Non-European Union,2020/21,Female,310
Architecture & planning,Not known,2020/21,Female,10
Architecture & planning,UK,2020/21,Female,1085
Architecture & planning,European Union,2020/21,Male,435
Architecture & planning,Non-European Union,2020/21,Male,430
Architecture & planning,Not known,2020/21,Male,20
Architecture & planning,UK,2020/21,Male,2220
Architecture & planning,All,2020/21,Female,1855
Architecture & planning,All,2020/21,Male,3105
"Biological, mathematical & physical sciences",European Union,2020/21,Female,3045
"Biological, mathematical & physical sciences",Non-European Union,2020/21,Female,2120
"Biological, mathematical & physical sciences",Not known,2020/21,Female,80
"Biological, mathematical & physical sciences",UK,2020/21,Female,6845
"Biological, mathematical & physical sciences",European Union,2020/21,Male,4480
"Biological, mathematical & physical sciences",Non-European Union,2020/21,Male,3710
"Biological, mathematical & physical sciences",Not known,2020/21,Male,145
"Biological, mathematical & physical sciences",UK,2020/21,Male,13055
"Biological, mathematical & physical sciences",All,2020/21,Female,12090
"Biological, mathematical & physical sciences",All,2020/21,Male,21390
"Design, creative & performing arts",European Union,2020/21,Female,1130
"Design, creative & performing arts",Non-European Union,2020/21,Female,690
"Design, creative & performing arts",Not known,2020/21,Female,90
"Design, creative & performing arts",UK,2020/21,Female,7090
"Design, creative & performing arts",European Union,2020/21,Male,765
"Design, creative & performing arts",Non-European Union,2020/21,Male,475
"Design, creative & performing arts",Not known,2020/21,Male,115
"Design, creative & performing arts",UK,2020/21,Male,8400
"Design, creative & performing arts",All,2020/21,Female,9000
"Design, creative & performing arts",All,2020/21,Male,9760
Education,European Union,2020/21,Female,725
Education,Non-European Union,2020/21,Female,520
Education,Not known,2020/21,Female,45
Education,UK,2020/21,Female,6820
Education,European Union,2020/21,Male,355
Education,Non-European Union,2020/21,Male,260
Education,Not known,2020/21,Male,15
Education,UK,2020/21,Male,4430
Education,All,2020/21,Female,8110
Education,All,2020/21,Male,5060
Engineering & technology,European Union,2020/21,Female,1400
Engineering & technology,Non-European Union,2020/21,Female,1830
Engineering & technology,Not known,2020/21,Female,45
Engineering & technology,UK,2020/21,Female,2915
Engineering & technology,European Union,2020/21,Male,4065
Engineering & technology,Non-European Union,2020/21,Male,6180
Engineering & technology,Not known,2020/21,Male,100
Engineering & technology,UK,2020/21,Male,11845
Engineering & technology,All,2020/21,Female,6190
Engineering & technology,All,2020/21,Male,22190
Humanities & language based studies & archaeology,European Union,2020/21,Female,2450
Humanities & language based studies & archaeology,Non-European Union,2020/21,Female,1400
Humanities & language based studies & archaeology,Not known,2020/21,Female,80
Humanities & language based studies & archaeology,UK,2020/21,Female,5640
Humanities & language based studies & archaeology,European Union,2020/21,Male,1405
Humanities & language based studies & archaeology,Non-European Union,2020/21,Male,1065
Humanities & language based studies & archaeology,Not known,2020/21,Male,75
Humanities & language based studies & archaeology,UK,2020/21,Male,5675
Humanities & language based studies & archaeology,All,2020/21,Female,9570
Humanities & language based studies & archaeology,All,2020/21,Male,8215
"Medicine, dentistry & health",European Union,2020/21,Female,5005
"Medicine, dentistry & health",Non-European Union,2020/21,Female,2940
"Medicine, dentistry & health",Not known,2020/21,Female,245
"Medicine, dentistry & health",UK,2020/21,Female,24705
"Medicine, dentistry & health",European Union,2020/21,Male,3300
"Medicine, dentistry & health",Non-European Union,2020/21,Male,2510
"Medicine, dentistry & health",Not known,2020/21,Male,220
"Medicine, dentistry & health",UK,2020/21,Male,15460
"Medicine, dentistry & health",All,2020/21,Female,32895
"Medicine, dentistry & health",All,2020/21,Male,21485
Other services,European Union,2020/21,Female,200
Other services,Non-European Union,2020/21,Female,135
Other services,Not known,2020/21,Female,10
Other services,UK,2020/21,Female,1380
Other services,European Union,2020/21,Male,125
Other services,Non-European Union,2020/21,Male,105
Other services,Not known,2020/21,Male,15
Other services,UK,2020/21,Male,1195
Other services,All,2020/21,Female,1730
Other services,All,2020/21,Male,1440
Social studies,European Union,2020/21,Female,2655
Social studies,Non-European Union,2020/21,Female,2150
Social studies,Not known,2020/21,Female,85
Social studies,UK,2020/21,Female,9180
Social studies,European Union,2020/21,Male,2650
Social studies,Non-European Union,2020/21,Male,2025
Social studies,Not known,2020/21,Male,105
Social studies,UK,2020/21,Male,9890
Social studies,All,2020/21,Female,14065
Social studies,All,2020/21,Male,14670
Administration & business studies,European Union,2021/22,Female,1315
Administration & business studies,Non-European Union,2021/22,Female,2070
Administration & business studies,Not known,2021/22,Female,40
Administration & business studies,UK,2021/22,Female,5265
Administration & business studies,European Union,2021/22,Male,1635
Administration & business studies,Non-European Union,2021/22,Male,2465
Administration & business studies,Not known,2021/22,Male,55
Administration & business studies,UK,2021/22,Male,6340
Administration & business studies,All,2021/22,Female,8695
Administration & business studies,All,2021/22,Male,10500
"Agriculture, forestry & veterinary science",European Union,2021/22,Female,260
"Agriculture, forestry & veterinary science",Non-European Union,2021/22,Female,140
"Agriculture, forestry & veterinary science",Not known,2021/22,Female,10
"Agriculture, forestry & veterinary science",UK,2021/22,Female,1345
"Agriculture, forestry & veterinary science",European Union,2021/22,Male,185
"Agriculture, forestry & veterinary science",Non-European Union,2021/22,Male,145
"Agriculture, forestry & veterinary science",Not known,2021/22,Male,5
"Agriculture, forestry & veterinary science",UK,2021/22,Male,945
"Agriculture, forestry & veterinary science",All,2021/22,Female,1755
"Agriculture, forestry & veterinary science",All,2021/22,Male,1280
Architecture & planning,European Union,2021/22,Female,495
Architecture & planning,Non-European Union,2021/22,Female,350
Architecture & planning,Not known,2021/22,Female,5
Architecture & planning,UK,2021/22,Female,1190
Architecture & planning,European Union,2021/22,Male,445
Architecture & planning,Non-European Union,2021/22,Male,455
Architecture & planning,Not known,2021/22,Male,20
Architecture & planning,UK,2021/22,Male,2305
Architecture & planning,All,2021/22,Female,2040
Architecture & planning,All,2021/22,Male,3230
"Biological, mathematical & physical sciences",European Union,2021/22,Female,2975
"Biological, mathematical & physical sciences",Non-European Union,2021/22,Female,2355
"Biological, mathematical & physical sciences",Not known,2021/22,Female,115
"Biological, mathematical & physical sciences",UK,2021/22,Female,7065
"Biological, mathematical & physical sciences",European Union,2021/22,Male,4295
"Biological, mathematical & physical sciences",Non-European Union,2021/22,Male,3775
"Biological, mathematical & physical sciences",Not known,2021/22,Male,205
"Biological, mathematical & physical sciences",UK,2021/22,Male,13165
"Biological, mathematical & physical sciences",All,2021/22,Female,12515
"Biological, mathematical & physical sciences",All,2021/22,Male,21440
"Design, creative & performing arts",European Union,2021/22,Female,1275
"Design, creative & performing arts",Non-European Union,2021/22,Female,800
"Design, creative & performing arts",Not known,2021/22,Female,115
"Design, creative & performing arts",UK,2021/22,Female,7860
"Design, creative & performing arts",European Union,2021/22,Male,850
"Design, creative & performing arts",Non-European Union,2021/22,Male,525
"Design, creative & performing arts",Not known,2021/22,Male,140
"Design, creative & performing arts",UK,2021/22,Male,8975
"Design, creative & performing arts",All,2021/22,Female,10055
"Design, creative & performing arts",All,2021/22,Male,10485
Education,European Union,2021/22,Female,745
Education,Non-European Union,2021/22,Female,630
Education,Not known,2021/22,Female,85
Education,UK,2021/22,Female,7150
Education,European Union,2021/22,Male,375
Education,Non-European Union,2021/22,Male,315
Education,Not known,2021/22,Male,25
Education,UK,2021/22,Male,4570
Education,All,2021/22,Female,8610
Education,All,2021/22,Male,5285
Engineering & technology,European Union,2021/22,Female,1425
Engineering & technology,Non-European Union,2021/22,Female,2045
Engineering & technology,Not known,2021/22,Female,30
Engineering & technology,UK,2021/22,Female,3050
Engineering & technology,European Union,2021/22,Male,3875
Engineering & technology,Non-European Union,2021/22,Male,6490
Engineering & technology,Not known,2021/22,Male,120
Engineering & technology,UK,2021/22,Male,11980
Engineering & technology,All,2021/22,Female,6550
Engineering & technology,All,2021/22,Male,22470
Humanities & language based studies & archaeology,European Union,2021/22,Female,2440
Humanities & language based studies & archaeology,Non-European Union,2021/22,Female,1515
Humanities & language based studies & archaeology,Not known,2021/22,Female,110
Humanities & language based studies & archaeology,UK,2021/22,Female,5860
Humanities & language based studies & archaeology,European Union,2021/22,Male,1365
Humanities & language based studies & archaeology,Non-European Union,2021/22,Male,1115
Humanities & language based studies & archaeology,Not known,2021/22,Male,95
Humanities & language based studies & archaeology,UK,2021/22,Male,5715
Humanities & language based studies & archaeology,All,2021/22,Female,9925
Humanities & language based studies & archaeology,All,2021/22,Male,8285
"Medicine, dentistry & health",European Union,2021/22,Female,5050
"Medicine, dentistry & health",Non-European Union,2021/22,Female,3240
"Medicine, dentistry & health",Not known,2021/22,Female,320
"Medicine, dentistry & health",UK,2021/22,Female,26290
"Medicine, dentistry & health",European Union,2021/22,Male,3155
"Medicine, dentistry & health",Non-European Union,2021/22,Male,2635
"Medicine, dentistry & health",Not known,2021/22,Male,275
"Medicine, dentistry & health",UK,2021/22,Male,15735
"Medicine, dentistry & health",All,2021/22,Female,34895
"Medicine, dentistry & health",All,2021/22,Male,21800
Other services,European Union,2021/22,Female,240
Other services,Non-European Union,2021/22,Female,195
Other services,Not known,2021/22,Female,15
Other services,UK,2021/22,Female,1610
Other services,European Union,2021/22,Male,160
Other services,Non-European Union,2021/22,Male,165
Other services,Not known,2021/22,Male,15
Other services,UK,2021/22,Male,1295
Other services,All,2021/22,Female,2060
Other services,All,2021/22,Male,1635
Social studies,European Union,2021/22,Female,2690
Social studies,Non-European Union,2021/22,Female,2400
Social studies,Not known,2021/22,Female,95
Social studies,UK,2021/22,Female,9645
Social studies,European Union,2021/22,Male,2685
Social studies,Non-European Union,2021/22,Male,2250
Social studies,Not known,2021/22,Male,120
Social studies,UK,2021/22,Male,10225
Social studies,All,2021/22,Female,14825
Social studies,All,2021/22,Male,15280
